	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.08	0.08	0.04	0.09	0.02	0.01	0.02	0.11	0.0	0.0	0.01	0.06	0.03	0.01
AgaR	0.66	0.7	0.36	0.25	0.14	0.01	0.03	0.02	0.01	0.02	0.06	0.02	0.05	0.06
AmtR	0.01	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.05	0.03	0.08	0.0	0.0
AraR	0.28	0.36	0.24	0.27	0.05	0.0	0.0	0.01	0.0	0.04	0.0	0.0	0.07	0.09
ArgR	0.23	0.27	0.18	0.11	0.08	0.0	0.01	0.0	0.01	0.05	0.0	0.01	0.12	0.04
BioQ	0.0	0.0	0.02	0.02	0.01	0.11	0.07	0.07	0.09	0.06	0.02	0.01	0.03	0.02
BirA	0.08	0.1	0.06	0.09	0.03	0.0	0.03	0.0	0.01	0.08	0.0	0.04	0.06	0.04
CadR-PbrR	0.03	0.02	0.0	0.01	0.0	0.0	0.08	0.0	0.0	0.04	0.01	0.0	0.01	0.0
CblR	0.02	0.03	0.0	0.0	0.0	0.0	0.06	0.06	0.01	0.0	0.0	0.01	0.02	0.01
CcpA	0.07	0.06	0.07	0.0	0.01	0.07	0.01	0.02	0.0	0.0	0.02	0.03	0.01	0.01
CsoR	0.32	0.29	0.22	0.09	0.15	0.0	0.01	0.0	0.0	0.0	0.1	0.03	0.07	0.03
CueR	0.08	0.12	0.06	0.03	0.0	0.0	0.0	0.0	0.0	0.07	0.02	0.0	0.07	0.02
CzrA	0.28	0.38	0.28	0.16	0.12	0.03	0.0	0.0	0.03	0.07	0.01	0.0	0.05	0.01
DasR	0.17	0.14	0.09	0.05	0.0	0.04	0.03	0.01	0.0	0.06	0.01	0.0	0.09	0.03
ExuR_UxuR	0.11	0.1	0.04	0.03	0.03	0.06	0.2	0.27	0.0	0.01	0.09	0.0	0.01	0.0
FUR	0.41	0.46	0.26	0.18	0.14	0.0	0.0	0.01	0.0	0.06	0.03	0.04	0.14	0.1
FabR	0.48	0.47	0.27	0.13	0.09	0.06	0.18	0.09	0.01	0.02	0.09	0.04	0.01	0.0
FadP	0.03	0.04	0.07	0.01	0.05	0.0	0.05	0.02	0.03	0.02	0.01	0.02	0.1	0.07
FadR	0.0	0.01	0.0	0.0	0.01	0.02	0.03	0.02	0.04	0.0	0.0	0.03	0.13	0.14
FixJ	0.1	0.14	0.11	0.16	0.03	0.01	0.04	0.03	0.0	0.01	0.01	0.01	0.01	0.0
FnrN_FixK	0.05	0.03	0.03	0.01	0.01	0.0	0.09	0.01	0.02	0.01	0.02	0.0	0.07	0.0
FruR	0.02	0.01	0.0	0.02	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.07	0.27	0.11
GguR	0.34	0.39	0.15	0.09	0.05	0.0	0.19	0.15	0.0	0.0	0.04	0.0	0.0	0.0
GlcC	0.02	0.03	0.02	0.0	0.01	0.0	0.04	0.02	0.0	0.02	0.0	0.0	0.01	0.02
GntR	0.2	0.22	0.11	0.09	0.07	0.02	0.02	0.0	0.02	0.0	0.01	0.09	0.14	0.18
GulR	0.32	0.34	0.24	0.1	0.05	0.01	0.05	0.0	0.0	0.01	0.0	0.02	0.12	0.08
HcpR	0.03	0.02	0.01	0.0	0.01	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0
HexR	0.13	0.13	0.09	0.13	0.03	0.06	0.01	0.09	0.0	0.03	0.02	0.0	0.01	0.0
HisR	0.11	0.12	0.17	0.03	0.0	0.05	0.07	0.04	0.01	0.01	0.0	0.0	0.0	0.0
HrcA	0.32	0.3	0.17	0.09	0.07	0.0	0.02	0.0	0.0	0.02	0.06	0.0	0.03	0.06
HutC	0.01	0.02	0.0	0.12	0.04	0.01	0.1	0.0	0.01	0.0	0.01	0.0	0.02	0.01
HypR	0.09	0.08	0.01	0.1	0.05	0.04	0.09	0.03	0.02	0.21	0.12	0.0	0.0	0.01
Irr	0.37	0.4	0.24	0.12	0.07	0.0	0.02	0.0	0.0	0.0	0.02	0.04	0.01	0.03
IscR	0.09	0.13	0.05	0.08	0.07	0.0	0.0	0.02	0.02	0.03	0.02	0.02	0.13	0.06
KdgR	0.47	0.48	0.32	0.16	0.1	0.02	0.0	0.01	0.0	0.02	0.03	0.08	0.09	0.16
