	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.04	0.04	0.14	0.05	0.02	0.13	0.07	0.11	0.04	0.03	0.03	0.23	0.02	0.02	0.14	0.09
AgaR	0.19	0.21	0.1	0.0	0.04	0.01	0.04	0.0	0.12	0.03	0.05	0.22	0.25	0.0	0.09	0.12
AmtR	0.01	0.0	0.0	0.04	0.0	0.0	0.02	0.01	0.0	0.09	0.01	0.02	0.19	0.0	0.0	0.0
AraR	0.0	0.01	0.05	0.05	0.02	0.0	0.06	0.02	0.02	0.02	0.06	0.06	0.03	0.05	0.06	0.03
ArgR	0.05	0.04	0.07	0.0	0.06	0.0	0.01	0.0	0.01	0.01	0.03	0.26	0.12	0.0	0.14	0.04
BioQ	0.06	0.04	0.03	0.0	0.0	0.01	0.0	0.11	0.0	0.02	0.01	0.18	0.04	0.01	0.02	0.07
BirA	0.03	0.02	0.03	0.0	0.05	0.0	0.0	0.0	0.0	0.09	0.05	0.26	0.32	0.0	0.06	0.04
CadR-PbrR	0.1	0.02	0.02	0.14	0.01	0.0	0.0	0.03	0.01	0.05	0.02	0.01	0.02	0.02	0.01	0.0
CblR	0.03	0.04	0.01	0.02	0.0	0.01	0.01	0.0	0.01	0.01	0.0	0.03	0.04	0.01	0.06	0.06
CcpA	0.04	0.02	0.0	0.02	0.03	0.06	0.01	0.03	0.0	0.01	0.05	0.05	0.84	0.0	0.02	0.05
CsoR	0.04	0.05	0.01	0.03	0.08	0.05	0.0	0.01	0.03	0.03	0.15	0.07	0.62	0.05	0.01	0.0
CueR	0.01	0.0	0.0	0.1	0.0	0.0	0.01	0.01	0.01	0.07	0.01	0.06	0.07	0.02	0.09	0.04
CzrA	0.0	0.0	0.03	0.01	0.05	0.01	0.0	0.0	0.0	0.04	0.02	0.15	0.18	0.0	0.05	0.01
DasR	0.04	0.04	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.06	0.01	0.03	0.01	0.0	0.14	0.03
ExuR_UxuR	0.01	0.0	0.04	0.0	0.03	0.06	0.0	0.02	0.0	0.0	0.1	0.13	0.13	0.01	0.02	0.0
FUR	0.17	0.2	0.15	0.0	0.1	0.01	0.03	0.0	0.04	0.03	0.09	0.39	0.44	0.0	0.11	0.08
