	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.01	0.0	0.1	0.02	0.02	0.04	0.01	0.05	0.03	0.03	0.01	0.15	0.02	0.0	0.04	0.08
AgaR	0.2	0.14	0.11	0.01	0.04	0.0	0.0	0.0	0.11	0.02	0.02	0.13	0.04	0.03	0.02	0.08
AmtR	0.01	0.0	0.0	0.03	0.0	0.0	0.01	0.0	0.0	0.04	0.0	0.03	0.05	0.0	0.0	0.0
AraR	0.0	0.0	0.03	0.0	0.01	0.0	0.0	0.0	0.01	0.01	0.05	0.05	0.0	0.0	0.01	0.03
ArgR	0.02	0.0	0.05	0.01	0.02	0.0	0.0	0.0	0.0	0.01	0.03	0.09	0.02	0.0	0.01	0.02
BioQ	0.05	0.0	0.02	0.01	0.0	0.0	0.0	0.05	0.0	0.02	0.0	0.2	0.02	0.01	0.0	0.06
BirA	0.01	0.01	0.03	0.01	0.01	0.01	0.0	0.0	0.0	0.04	0.04	0.14	0.01	0.0	0.0	0.02
CadR-PbrR	0.06	0.01	0.03	0.11	0.02	0.0	0.0	0.06	0.02	0.08	0.03	0.02	0.06	0.01	0.01	0.0
CblR	0.01	0.04	0.0	0.02	0.0	0.01	0.0	0.0	0.01	0.02	0.01	0.03	0.02	0.02	0.07	0.13
CcpA	0.0	0.0	0.0	0.03	0.02	0.03	0.0	0.02	0.0	0.02	0.02	0.03	0.18	0.0	0.0	0.03
CsoR	0.02	0.0	0.03	0.02	0.03	0.01	0.0	0.0	0.02	0.01	0.09	0.08	0.15	0.0	0.03	0.0
CueR	0.0	0.01	0.01	0.07	0.0	0.0	0.02	0.0	0.01	0.03	0.0	0.05	0.01	0.0	0.04	0.05
CzrA	0.0	0.01	0.03	0.01	0.02	0.0	0.0	0.0	0.0	0.02	0.03	0.06	0.02	0.0	0.0	0.01
DasR	0.02	0.03	0.0	0.03	0.0	0.0	0.0	0.0	0.01	0.07	0.0	0.01	0.0	0.0	0.07	0.01
ExuR_UxuR	0.0	0.01	0.01	0.01	0.03	0.01	0.0	0.01	0.01	0.01	0.02	0.06	0.04	0.01	0.03	0.0
FUR	0.07	0.02	0.08	0.01	0.04	0.0	0.0	0.0	0.02	0.03	0.04	0.13	0.05	0.01	0.01	0.05
FabR	0.13	0.07	0.11	0.01	0.05	0.02	0.03	0.01	0.07	0.01	0.1	0.04	0.17	0.0	0.0	0.01
FadP	0.0	0.0	0.01	0.02	0.01	0.01	0.0	0.01	0.01	0.02	0.01	0.06	0.01	0.0	0.01	0.04
FadR	0.07	0.0	0.15	0.01	0.02	0.09	0.04	0.02	0.03	0.02	0.06	0.09	0.04	0.02	0.02	0.08
FixJ	0.01	0.0	0.05	0.01	0.02	0.0	0.01	0.01	0.0	0.0	0.06	0.05	0.04	0.0	0.0	0.0
