	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.28	0.14	0.02	0.08	0.02	0.05	0.37	0.26	0.01	0.03	0.01	0.12	0.0	0.2	0.04	0.08
AgaR	0.52	0.07	0.01	0.02	0.03	0.0	0.38	0.2	0.02	0.0	0.01	0.1	0.03	0.19	0.02	0.08
AmtR	0.09	0.01	0.0	0.0	0.0	0.0	0.09	0.01	0.01	0.02	0.0	0.03	0.06	0.0	0.0	0.0
AraR	0.2	0.09	0.0	0.04	0.0	0.0	0.3	0.21	0.0	0.01	0.04	0.04	0.0	0.26	0.01	0.03
ArgR	0.4	0.25	0.0	0.02	0.02	0.03	0.51	0.24	0.0	0.0	0.02	0.07	0.0	0.3	0.01	0.02
BioQ	0.18	0.06	0.0	0.0	0.0	0.01	0.2	0.08	0.01	0.01	0.0	0.18	0.02	0.15	0.0	0.06
BirA	0.39	0.28	0.0	0.03	0.01	0.02	0.53	0.31	0.0	0.0	0.03	0.11	0.0	0.34	0.0	0.02
CadR-PbrR	0.02	0.0	0.01	0.07	0.02	0.02	0.01	0.01	0.02	0.03	0.03	0.02	0.03	0.0	0.01	0.0
CblR	0.0	0.05	0.02	0.02	0.0	0.01	0.01	0.0	0.01	0.01	0.01	0.03	0.0	0.01	0.07	0.13
CcpA	0.13	0.04	0.01	0.0	0.02	0.0	0.14	0.04	0.01	0.0	0.02	0.02	0.18	0.05	0.0	0.03
CsoR	0.31	0.12	0.0	0.01	0.02	0.0	0.33	0.16	0.0	0.0	0.08	0.06	0.06	0.13	0.03	0.0
CueR	0.28	0.26	0.01	0.0	0.0	0.04	0.47	0.24	0.0	0.01	0.0	0.03	0.02	0.27	0.04	0.05
CzrA	0.37	0.29	0.0	0.03	0.02	0.02	0.55	0.31	0.0	0.0	0.02	0.05	0.0	0.37	0.0	0.01
DasR	0.07	0.14	0.01	0.0	0.0	0.01	0.22	0.06	0.01	0.02	0.0	0.01	0.0	0.09	0.07	0.01
ExuR_UxuR	0.01	0.0	0.01	0.0	0.03	0.01	0.02	0.01	0.0	0.0	0.01	0.07	0.04	0.01	0.03	0.0
FUR	0.46	0.2	0.0	0.02	0.03	0.01	0.54	0.26	0.0	0.0	0.03	0.1	0.02	0.31	0.01	0.05
FabR	0.14	0.01	0.09	0.03	0.05	0.0	0.13	0.06	0.06	0.03	0.09	0.04	0.17	0.06	0.0	0.01
FadP	0.31	0.18	0.01	0.01	0.01	0.02	0.41	0.19	0.01	0.0	0.01	0.05	0.0	0.23	0.01	0.04
FadR	0.33	0.13	0.04	0.01	0.02	0.05	0.37	0.23	0.01	0.03	0.03	0.07	0.02	0.21	0.02	0.08
FixJ	0.28	0.13	0.01	0.07	0.01	0.0	0.35	0.17	0.0	0.0	0.05	0.04	0.02	0.23	0.0	0.0
FnrN_FixK	0.08	0.38	0.01	0.01	0.01	0.13	0.21	0.27	0.01	0.01	0.07	0.01	0.01	0.31	0.02	0.02
FruR	0.31	0.18	0.0	0.01	0.0	0.05	0.39	0.17	0.0	0.0	0.0	0.06	0.04	0.25	0.13	0.1
GguR	0.22	0.11	0.01	0.05	0.02	0.07	0.29	0.19	0.08	0.07	0.07	0.02	0.05	0.07	0.0	0.01
GlcC	0.25	0.16	0.06	0.0	0.0	0.01	0.34	0.21	0.03	0.0	0.02	0.05	0.02	0.2	0.0	0.01
GntR	0.56	0.11	0.06	0.07	0.05	0.01	0.5	0.26	0.02	0.01	0.06	0.13	0.07	0.24	0.03	0.12
GulR	0.46	0.15	0.01	0.02	0.0	0.0	0.51	0.2	0.0	0.0	0.0	0.03	0.04	0.18	0.01	0.03
HcpR	0.01	0.29	0.03	0.01	0.01	0.06	0.14	0.18	0.0	0.0	0.06	0.0	0.03	0.24	0.0	0.01
HexR	0.15	0.23	0.03	0.0	0.0	0.02	0.25	0.11	0.02	0.0	0.0	0.02	0.01	0.18	0.0	0.0
HisR	0.03	0.07	0.02	0.0	0.0	0.02	0.03	0.01	0.04	0.0	0.0	0.01	0.01	0.02	0.01	0.0
HrcA	0.34	0.02	0.04	0.0	0.01	0.0	0.23	0.07	0.0	0.01	0.07	0.04	0.05	0.07	0.0	0.02
HutC	0.14	0.21	0.0	0.07	0.02	0.01	0.24	0.19	0.01	0.02	0.01	0.0	0.01	0.18	0.0	0.01
HypR	0.01	0.01	0.03	0.04	0.02	0.0	0.03	0.0	0.01	0.15	0.01	0.0	0.2	0.0	0.01	0.0
Irr	0.35	0.32	0.0	0.02	0.0	0.04	0.47	0.39	0.01	0.0	0.02	0.02	0.01	0.48	0.0	0.01
IscR	0.22	0.04	0.05	0.01	0.04	0.01	0.26	0.12	0.03	0.0	0.05	0.07	0.06	0.11	0.02	0.05
KdgR	0.5	0.22	0.01	0.02	0.02	0.03	0.51	0.28	0.0	0.0	0.04	0.17	0.01	0.34	0.0	0.06
LexA	0.2	0.12	0.01	0.03	0.0	0.0	0.28	0.14	0.01	0.0	0.01	0.07	0.05	0.13	0.01	0.04
LiuQ	0.05	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.02
LiuR	0.35	0.16	0.03	0.05	0.04	0.04	0.43	0.36	0.05	0.01	0.08	0.03	0.06	0.32	0.01	0.06
LldR	0.04	0.09	0.02	0.0	0.02	0.07	0.1	0.08	0.01	0.0	0.04	0.02	0.02	0.12	0.01	0.01
LtbR	0.08	0.03	0.03	0.0	0.03	0.0	0.07	0.02	0.01	0.02	0.04	0.05	0.12	0.05	0.02	0.04
MerR	0.28	0.23	0.01	0.03	0.0	0.01	0.44	0.17	0.0	0.0	0.0	0.05	0.05	0.24	0.01	0.01
MetJ	0.0	0.01	0.12	0.01	0.03	0.0	0.0	0.01	0.0	0.0	0.02	0.04	0.04	0.0	0.01	0.08
MetR	0.47	0.17	0.01	0.03	0.04	0.03	0.52	0.27	0.0	0.0	0.05	0.11	0.04	0.27	0.03	0.09
MntR	0.35	0.24	0.0	0.03	0.01	0.04	0.46	0.29	0.0	0.0	0.03	0.1	0.01	0.38	0.02	0.04
ModE	0.24	0.19	0.0	0.05	0.0	0.0	0.4	0.24	0.0	0.02	0.0	0.01	0.01	0.22	0.01	0.0
NadQ	0.37	0.23	0.0	0.03	0.02	0.03	0.5	0.3	0.0	0.0	0.05	0.02	0.05	0.3	0.01	0.0
NagC	0.43	0.19	0.01	0.02	0.02	0.01	0.5	0.25	0.0	0.0	0.07	0.1	0.02	0.31	0.01	0.04
NagQ	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.04	0.01	0.01	0.0	0.02	0.0	0.0	0.0
NagR	0.13	0.0	0.01	0.0	0.07	0.01	0.11	0.02	0.01	0.0	0.02	0.02	0.26	0.0	0.0	0.01
NarP	0.02	0.09	0.0	0.01	0.0	0.09	0.0	0.04	0.0	0.0	0.02	0.0	0.0	0.06	0.02	0.0
NiaR	0.04	0.03	0.01	0.03	0.0	0.0	0.07	0.05	0.02	0.0	0.0	0.04	0.02	0.07	0.03	0.05
NifA	0.18	0.23	0.02	0.02	0.0	0.03	0.38	0.2	0.0	0.02	0.0	0.02	0.02	0.23	0.02	0.01
NikR	0.0	0.02	0.02	0.01	0.0	0.0	0.01	0.0	0.04	0.0	0.01	0.0	0.0	0.0	0.05	0.0
NmlR	0.17	0.2	0.01	0.03	0.0	0.02	0.26	0.11	0.01	0.01	0.0	0.03	0.0	0.12	0.01	0.01
NnrR	0.4	0.14	0.01	0.01	0.07	0.01	0.44	0.25	0.02	0.0	0.04	0.1	0.11	0.3	0.02	0.1
NorR	0.01	0.01	0.07	0.02	0.0	0.06	0.01	0.06	0.02	0.01	0.0	0.04	0.06	0.05	0.1	0.12
NrdR	0.1	0.13	0.01	0.0	0.06	0.0	0.16	0.18	0.01	0.01	0.03	0.02	0.09	0.2	0.0	0.01
NrtR	0.43	0.27	0.0	0.03	0.01	0.04	0.54	0.31	0.0	0.0	0.04	0.11	0.0	0.37	0.01	0.04
NsrR	0.37	0.28	0.0	0.04	0.02	0.02	0.53	0.36	0.0	0.0	0.03	0.05	0.02	0.4	0.0	0.02
NtrC	0.47	0.1	0.06	0.02	0.06	0.0	0.48	0.23	0.04	0.0	0.06	0.11	0.1	0.22	0.02	0.12
PaaR	0.39	0.25	0.02	0.02	0.01	0.03	0.54	0.29	0.0	0.0	0.0	0.07	0.0	0.31	0.0	0.0
PdhR	0.05	0.04	0.01	0.02	0.0	0.0	0.1	0.01	0.01	0.04	0.0	0.0	0.01	0.02	0.03	0.03
PdxR	0.37	0.2	0.01	0.03	0.04	0.05	0.43	0.29	0.0	0.01	0.1	0.03	0.08	0.34	0.02	0.02
PhnF	0.28	0.26	0.0	0.04	0.09	0.08	0.44	0.36	0.04	0.02	0.04	0.01	0.05	0.37	0.09	0.12
PhnR	0.15	0.31	0.05	0.01	0.0	0.01	0.33	0.16	0.01	0.0	0.0	0.01	0.01	0.2	0.0	0.01
Phr	0.4	0.28	0.0	0.03	0.01	0.05	0.57	0.35	0.0	0.0	0.03	0.06	0.0	0.39	0.01	0.04
PhrR	0.3	0.19	0.01	0.02	0.0	0.02	0.31	0.16	0.0	0.0	0.01	0.04	0.01	0.16	0.01	0.01
PhsR	0.1	0.0	0.0	0.0	0.01	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.01
PrpR	0.07	0.14	0.0	0.0	0.0	0.0	0.23	0.12	0.0	0.03	0.0	0.0	0.0	0.13	0.01	0.0
PsrA	0.04	0.02	0.03	0.01	0.0	0.0	0.07	0.02	0.05	0.06	0.0	0.04	0.01	0.04	0.01	0.0
PurR	0.26	0.1	0.03	0.08	0.06	0.0	0.35	0.22	0.01	0.04	0.1	0.04	0.08	0.19	0.0	0.02
QorR	0.26	0.03	0.0	0.03	0.0	0.0	0.16	0.12	0.0	0.0	0.01	0.01	0.0	0.09	0.0	0.01
RbkR	0.35	0.16	0.02	0.01	0.04	0.04	0.4	0.2	0.01	0.0	0.02	0.13	0.05	0.18	0.02	0.11
RbsR	0.3	0.24	0.0	0.04	0.01	0.02	0.48	0.37	0.01	0.01	0.05	0.03	0.02	0.33	0.0	0.01
Rex	0.05	0.09	0.0	0.02	0.0	0.03	0.11	0.06	0.0	0.0	0.01	0.06	0.0	0.09	0.0	0.03
RutR	0.03	0.19	0.02	0.0	0.01	0.15	0.11	0.05	0.0	0.0	0.03	0.0	0.0	0.08	0.01	0.0
SahR_SamR	0.43	0.23	0.01	0.05	0.03	0.04	0.52	0.33	0.01	0.0	0.04	0.1	0.01	0.36	0.04	0.07
SdaR	0.09	0.01	0.03	0.01	0.0	0.0	0.01	0.04	0.02	0.0	0.08	0.01	0.06	0.03	0.03	0.0
SiaR	0.33	0.14	0.03	0.04	0.05	0.02	0.36	0.29	0.02	0.01	0.14	0.06	0.08	0.29	0.0	0.04
SoxR	0.08	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.02	0.03	0.0	0.01	0.04	0.0	0.08	0.04
ThiR	0.41	0.17	0.01	0.02	0.04	0.03	0.47	0.25	0.0	0.0	0.04	0.09	0.04	0.3	0.05	0.09
TrpR	0.06	0.23	0.01	0.07	0.0	0.05	0.24	0.21	0.0	0.05	0.0	0.01	0.01	0.23	0.0	0.0
TtrR	0.02	0.19	0.07	0.01	0.02	0.04	0.09	0.09	0.0	0.02	0.03	0.05	0.12	0.11	0.0	0.0
TyrR	0.03	0.12	0.03	0.03	0.03	0.03	0.15	0.07	0.0	0.01	0.04	0.03	0.14	0.03	0.0	0.0
