	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.01	0.01	0.05	0.03	0.01	0.03	0.03	0.11	0.01	0.01	0.01	0.14	0.01	0.0	0.03	0.01
AgaR	0.21	0.24	0.11	0.01	0.09	0.01	0.04	0.0	0.1	0.03	0.18	0.18	0.5	0.0	0.05	0.06
AmtR	0.02	0.01	0.0	0.05	0.02	0.0	0.02	0.0	0.0	0.11	0.04	0.08	0.15	0.0	0.0	0.0
AraR	0.0	0.0	0.05	0.05	0.0	0.02	0.11	0.04	0.06	0.01	0.01	0.03	0.0	0.07	0.07	0.09
ArgR	0.06	0.04	0.08	0.0	0.07	0.01	0.01	0.0	0.01	0.01	0.04	0.27	0.17	0.0	0.12	0.04
BioQ	0.01	0.01	0.03	0.0	0.03	0.07	0.12	0.22	0.09	0.03	0.09	0.03	0.68	0.01	0.03	0.02
BirA	0.03	0.02	0.05	0.0	0.07	0.0	0.0	0.0	0.0	0.06	0.07	0.25	0.45	0.0	0.06	0.04
CadR-PbrR	0.12	0.06	0.02	0.06	0.03	0.0	0.0	0.1	0.01	0.05	0.08	0.0	0.01	0.03	0.01	0.0
CblR	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.05	0.02	0.02	0.01	0.01	0.06	0.0	0.02	0.01
CcpA	0.02	0.0	0.0	0.02	0.05	0.07	0.0	0.02	0.01	0.0	0.09	0.02	0.74	0.01	0.01	0.01
CsoR	0.07	0.05	0.0	0.01	0.07	0.01	0.0	0.0	0.0	0.0	0.26	0.03	0.4	0.03	0.07	0.03
CueR	0.01	0.02	0.0	0.12	0.0	0.0	0.0	0.01	0.0	0.06	0.01	0.04	0.11	0.01	0.07	0.02
CzrA	0.0	0.0	0.07	0.0	0.1	0.02	0.0	0.0	0.01	0.03	0.07	0.18	0.34	0.0	0.05	0.01
DasR	0.02	0.02	0.01	0.01	0.04	0.0	0.0	0.03	0.0	0.07	0.0	0.1	0.24	0.0	0.09	0.03
ExuR_UxuR	0.01	0.0	0.08	0.0	0.05	0.14	0.07	0.16	0.04	0.02	0.19	0.04	0.46	0.04	0.01	0.0
FUR	0.2	0.21	0.16	0.0	0.13	0.03	0.03	0.0	0.04	0.04	0.12	0.42	0.58	0.0	0.14	0.1
FabR	0.21	0.21	0.05	0.02	0.03	0.07	0.05	0.0	0.05	0.04	0.07	0.08	0.28	0.0	0.01	0.0
FadP	0.01	0.0	0.05	0.0	0.05	0.01	0.0	0.0	0.01	0.0	0.06	0.19	0.01	0.0	0.1	0.07
FadR	0.05	0.04	0.19	0.02	0.03	0.04	0.09	0.02	0.06	0.0	0.04	0.12	0.07	0.01	0.13	0.14
FixJ	0.0	0.0	0.03	0.09	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.05	0.03	0.06	0.01	0.0
FnrN_FixK	0.0	0.0	0.03	0.03	0.05	0.0	0.0	0.0	0.02	0.0	0.07	0.01	0.32	0.0	0.07	0.0
